Title,Brand,OS,RAM,CPU,Storage,Screen Size,Resolution,CPU Speed,Model,Wireless Technology,SIM Count,Wireless Provider,Cellular Technology,Camera,Color,Price,Price Before Promotion,Rate,URL,IMG,Reviews
"SAMSUNG Galaxy Z Flip6, AI Phone, 12GB RAM, 256GB Storage, Blue, Android Smartphone, 50MP Camera, FlexCam, Long Battery Life, KSA Version + Samsung Galaxy Z Flip6 Clear Case with Ring, Clear",SAMSUNG,Android,,,,,,,,,,,,,Blue,"SAR4,090.00","SAR4,548.00",Previous page,https://www.amazon.sa/SAMSUNG-Storage-Android-Smartphone-FlexCam/dp/B0D92766K2?ref_=ast_sto_dp&th=1&psc=1&language=en_AE,https://m.media-amazon.com/images/I/41JmQmBNeUL._AC_SL1500_.jpg,[]
"SAMSUNG Galaxy Z Flip6, AI Phone, 12GB RAM, 256GB Storage, Mint, Android Smartphone, 50MP Camera, FlexCam, Long Battery Life, KSA Version + Samsung Galaxy Z Flip6 Clear Case with Ring, Clear",SAMSUNG,,,,,,,,,,,,,,Mint,"SAR4,090.00","SAR4,548.00",Previous page,https://www.amazon.sa/SAMSUNG-Storage-Android-Smartphone-FlexCam/dp/B0D926NXDW?ref_=ast_sto_dp&th=1&psc=1&language=en_AE,https://m.media-amazon.com/images/I/6193vfuqkdL._AC_SL1500_.jpg,[]
"SAMSUNG Galaxy Z Flip6, AI Phone, 12GB RAM, 256GB Storage, Silver Shadow, Android Smartphone, 50MP Camera, FlexCam, Long Battery Life, KSA Version + Samsung Galaxy Z Flip6 Clear Case with Ring, Clear",SAMSUNG,Android,,,,,,,,,,,,,Silver Shadow,"SAR4,110.00","SAR4,548.00",Previous page,https://www.amazon.sa/SAMSUNG-Storage-Android-Smartphone-FlexCam/dp/B0D927YBXX?ref_=ast_sto_dp&th=1&psc=1&language=en_AE,https://m.media-amazon.com/images/I/61wtyDo0EEL._AC_SL1500_.jpg,[]
"SAMSUNG Galaxy Z Flip6, AI Phone, 12GB RAM, 256GB Storage, Yellow, Android Smartphone, 50MP Camera, FlexCam, Long Battery Life, KSA Version + Samsung Galaxy Z Flip6 Clear Case with Ring, Clear",SAMSUNG,,,,,,,,,,,,,,Yellow,"SAR4,510.00",,Previous page,https://www.amazon.sa/SAMSUNG-Storage-Android-Smartphone-FlexCam/dp/B0D928SFQR?ref_=ast_sto_dp&th=1&psc=1&language=en_AE,https://m.media-amazon.com/images/I/618QHsRFQ-L._AC_SL1500_.jpg,[]
"SAMSUNG Galaxy Z Fold6, AI Phone, 12GB RAM, 256GB Storage, Navy, Android Smartphone, 50MP Camera, Big Screen, Multi-tasking, S Pen, Long Battery Life, KSA Version",SAMSUNG,Android,3 TB,1.2GHz Cortex A9 Processor,256 GB,,,6.3 THz,Galaxy Z Fold6,,,Unlocked for All Carriers,5G,,Navy,,,5.0 out of 5 stars,https://www.amazon.sa/SAMSUNG-Storage-Android-Smartphone-Multi-tasking/dp/B0D8L73FF3?ref_=ast_sto_dp&th=1&psc=1&language=en_AE,https://m.media-amazon.com/images/I/71DdqFtcdmL._AC_SL1500_.jpg,"[{'reviewer_name': '🥰', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\n🥹🥹', 'review_text': 'اللون خراااافي الله يبارك لي فيه\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 20 July 2024'}]"
"SAMSUNG Galaxy Z Fold6, AI Phone, 12GB RAM, 512GB Storage, Navy, Android Smartphone, 50MP Camera, Big Screen, Multi-tasking, S Pen, Long Battery Life, KSA Version",SAMSUNG,Android,,,512 GB,,,,Galaxy Z Fold6,,,Unlocked for All Carriers,5G,,Navy,,,5.0 out of 5 stars,https://www.amazon.sa/SAMSUNG-Storage-Android-Smartphone-Multi-tasking/dp/B0D8L7ZKFK?ref_=ast_sto_dp&th=1&psc=1&language=en_AE,https://m.media-amazon.com/images/I/71LOl314CcL._AC_SL1500_.jpg,"[{'reviewer_name': '🥰', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\n🥹🥹', 'review_text': 'اللون خراااافي الله يبارك لي فيه\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 20 July 2024'}]"
"SAMSUNG Galaxy Z Fold6, AI Phone, 12GB RAM, 256GB Storage, Pink, Android Smartphone, 50MP Camera, Big Screen, Multi-tasking, S Pen, Long Battery Life, KSA Version",SAMSUNG,Android,3 TB,1.2GHz Cortex A9 Processor,256 GB,,,6 THz,Galaxy Z Fold6,,,Unlocked for All Carriers,5G,,Pink,,,5.0 out of 5 stars,https://www.amazon.sa/SAMSUNG-Storage-Android-Smartphone-Multi-tasking/dp/B0D8L7Y5WJ?ref_=ast_sto_dp&th=1&psc=1&language=en_AE,https://m.media-amazon.com/images/I/71zTB+SG-3L._AC_SL1500_.jpg,"[{'reviewer_name': '🥰', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\n🥹🥹', 'review_text': 'اللون خراااافي الله يبارك لي فيه\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 20 July 2024'}]"
"SAMSUNG Galaxy Z Fold6, AI Phone, 12GB RAM, 512GB Storage, Pink, Android Smartphone, 50MP Camera, Big Screen, Multi-tasking, S Pen, Long Battery Life, KSA Version",SAMSUNG,Android,,,512 GB,,,,Galaxy Z Fold6,,,Unlocked for All Carriers,5G,,Pink,,,5.0 out of 5 stars,https://www.amazon.sa/SAMSUNG-Storage-Android-Smartphone-Multi-tasking/dp/B0D8LD36P2?ref_=ast_sto_dp&th=1&psc=1&language=en_AE,https://m.media-amazon.com/images/I/71dBSZg3-aL._AC_SL1500_.jpg,"[{'reviewer_name': '🥰', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\n🥹🥹', 'review_text': 'اللون خراااافي الله يبارك لي فيه\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 20 July 2024'}]"
"SAMSUNG Galaxy Z Fold6, AI Phone, 12GB RAM, 256GB Storage, Silver Shadow, Android Smartphone, 50MP Camera, Big Screen, Multi-tasking, S Pen, Long Battery Life, KSA Version",SAMSUNG,Android,,,256 GB,,,,Galaxy Z Fold6,,,Unlocked for All Carriers,5G,,Silver Shadow,,,5.0 out of 5 stars,https://www.amazon.sa/SAMSUNG-Storage-Android-Smartphone-Multi-tasking/dp/B0D8L86L9H?ref_=ast_sto_dp&th=1&psc=1&language=en_AE,https://m.media-amazon.com/images/I/71W2+dOWViL._AC_SL1500_.jpg,"[{'reviewer_name': '🥰', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\n🥹🥹', 'review_text': 'اللون خراااافي الله يبارك لي فيه\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 20 July 2024'}]"
"SAMSUNG Galaxy Z Fold6, AI Phone, 12GB RAM, 512GB Storage, Silver Shadow, Android Smartphone, 50MP Camera, Big Screen, Multi-tasking, S Pen, Long Battery Life, KSA Version",SAMSUNG,Android,3 TB,1.2GHz Cortex A9 Processor,512 GB,,,3.64 THz,Galaxy Z Fold6,,,Unlocked for All Carriers,5G,,Silver Shadow,,,5.0 out of 5 stars,https://www.amazon.sa/SAMSUNG-Storage-Android-Smartphone-Multi-tasking/dp/B0D8L7LRLC?ref_=ast_sto_dp&th=1&psc=1&language=en_AE,https://m.media-amazon.com/images/I/71+B+f79QzL._AC_SL1500_.jpg,"[{'reviewer_name': '🥰', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\n🥹🥹', 'review_text': 'اللون خراااافي الله يبارك لي فيه\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 20 July 2024'}]"
"SAMSUNG Galaxy Z Flip6, AI Phone, 12GB RAM, 256GB Storage, Blue, Android Smartphone, 50MP Camera, FlexCam, Long Battery Life, KSA Version",SAMSUNG,Android,4 TB,1.2GHz Cortex A8 Processor,256 GB,,,4 THz,Galaxy Z Flip6,,,Unlocked for All Carriers,5G,,Blue,,,5.0 out of 5 stars,https://www.amazon.sa/SAMSUNG-Storage-Android-Smartphone-FlexCam/dp/B0D8L7DPBG?ref_=ast_sto_dp&th=1&psc=1&language=en_AE,https://m.media-amazon.com/images/I/61hP7jS02bL._AC_SL1500_.jpg,"[{'reviewer_name': 'Customer', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nجميل واصلي', 'review_text': 'جميل جداً\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 28 July 2024'}]"
